SITE_ID,STREET,DATE_PARSED,BICYCLE_DETECTIONS
9077,Albert Street,2021-04-01,1035
9077,Albert Street,2021-04-02,332
9077,Albert Street,2021-04-03,378
9077,Albert Street,2021-04-04,291
9077,Albert Street,2021-04-05,409
9077,Albert Street,2021-04-06,900
9077,Albert Street,2021-04-07,1042
9077,Albert Street,2021-04-08,1106
9077,Albert Street,2021-04-09,812
9077,Albert Street,2021-04-10,296
9077,Albert Street,2021-04-11,146
9077,Albert Street,2021-04-12,657
9077,Albert Street,2021-04-13,1037
9077,Albert Street,2021-04-14,1035
9077,Albert Street,2021-04-15,1005
9077,Albert Street,2021-04-16,830
9077,Albert Street,2021-04-17,437
9077,Albert Street,2021-04-18,383
9077,Albert Street,2021-04-19,1018
9077,Albert Street,2021-04-20,773
9077,Albert Street,2021-04-21,979
9077,Albert Street,2021-04-22,1035
9077,Albert Street,2021-04-23,937
9077,Albert Street,2021-04-24,389
9077,Albert Street,2021-04-25,395
9077,Albert Street,2021-04-26,907
9077,Albert Street,2021-04-27,1172
9077,Albert Street,2021-04-28,1158
9077,Albert Street,2021-04-29,1124
9077,Albert Street,2021-04-30,1007
9077,Albert Street,2021-05-01,495
9077,Albert Street,2021-05-02,430
9077,Albert Street,2021-05-03,715
9077,Albert Street,2021-05-04,774
9077,Albert Street,2021-05-05,1160
9077,Albert Street,2021-05-06,1137
9077,Albert Street,2021-05-07,1013
9077,Albert Street,2021-05-08,423
9077,Albert Street,2021-05-09,339
9077,Albert Street,2021-05-10,754
9077,Albert Street,2021-05-11,578
9077,Albert Street,2021-05-12,1131
9077,Albert Street,2021-05-13,856
9077,Albert Street,2021-05-14,751
9077,Albert Street,2021-05-15,247
9077,Albert Street,2021-05-16,328
9077,Albert Street,2021-05-17,807
9077,Albert Street,2021-05-18,1085
9077,Albert Street,2021-05-19,1208
9077,Albert Street,2021-05-20,939
9077,Albert Street,2021-05-21,874
9077,Albert Street,2021-05-22,488
9077,Albert Street,2021-05-23,325
9077,Albert Street,2021-05-24,979
9077,Albert Street,2021-05-25,812
9077,Albert Street,2021-05-26,730
9077,Albert Street,2021-05-27,581
9077,Albert Street,2021-05-28,348
9077,Albert Street,2021-05-29,281
9077,Albert Street,2021-05-30,304
9077,Albert Street,2021-05-31,388
9077,Albert Street,2021-06-01,419
9077,Albert Street,2021-06-02,437
9077,Albert Street,2021-06-03,448
9077,Albert Street,2021-06-04,303
9077,Albert Street,2021-06-05,355
9077,Albert Street,2021-06-06,275
9077,Albert Street,2021-06-07,363
9077,Albert Street,2021-06-08,160
9077,Albert Street,2021-06-09,157
9077,Albert Street,2021-06-10,225
9077,Albert Street,2021-06-11,557
9077,Albert Street,2021-06-12,366
9077,Albert Street,2021-06-13,441
